RequestTime,ResponseTime,StatusCode,URL
1711362148779019676,1711362148883307028,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362148786196503,1711362148839359585,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362148826936378,1711362148879765329,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362148874293933,1711362148896896715,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362148930541748,1711362148948899872,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362148956874302,1711362149017567622,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362148966093750,1711362148990741556,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362148996475374,1711362149061727557,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149001704672,1711362149029693265,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149046136285,1711362149109444024,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149065630706,1711362149125922887,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149084650829,1711362149101733048,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149127136746,1711362149185511469,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149147219079,1711362149196041788,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149148069517,1711362149165376618,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149151155631,1711362149179592829,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149169687109,1711362149245611904,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149230005675,1711362149246080784,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149242331629,1711362149301460902,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149269249229,1711362149329542083,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149302332377,1711362149373824498,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149319343697,1711362149338796566,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149354114557,1711362149417396477,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149364459732,1711362149429602821,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149385594109,1711362149445445901,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149388466867,1711362149431715667,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149392612816,1711362149415492196,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149402047325,1711362149466076164,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149406464507,1711362149466239651,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149421582785,1711362149509467876,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149434248258,1711362149533846495,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149437957086,1711362149529626287,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149527525254,1711362149596986162,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149551224912,1711362149609607463,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149562173850,1711362149591471710,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149653112505,1711362149668961229,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149693424802,1711362149753628518,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149716118509,1711362149768724379,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149718168604,1711362149736786788,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149718415869,1711362149765095738,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149769772111,1711362149829650576,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149777280522,1711362149845481351,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149795095983,1711362149810928448,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149829748663,1711362149889531014,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149857938442,1711362149921552401,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149883012644,1711362149957220024,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149926116348,1711362149985520543,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149948633051,1711362149965870504,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149981061332,1711362150060982988,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362149981768572,1711362150041529576,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362150003710800,1711362150029916145,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362150016937432,1711362150121198025,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362150019896745,1711362150046600514,200,http://172.169.8.253:31112/function/bert-qa.cdgp
1711362150038532147,1711362150117506175,200,http://172.169.8.253:31112/function/bert-qa.cdgp
