model_name,cv,system,percentile,latency
BERT-21B,0.1,Cocktail,55th,0.45325865995000003
BERT-21B,0.1,InferLine,55th,0.45519929015
BERT-21B,0.1,Roger,55th,0.43528100365000005
BERT-21B,1,Cocktail,55th,0.7900016655000002
BERT-21B,1,InferLine,55th,0.7617879879500001
BERT-21B,1,Roger,55th,0.48179160105
BERT-21B,2,Cocktail,55th,1.91439138895
BERT-21B,2,InferLine,55th,1.9420057997500002
BERT-21B,2,Roger,55th,0.6326169103
BERT-21B,4,Cocktail,55th,4.90166566925
BERT-21B,4,InferLine,55th,4.742366264
BERT-21B,4,Roger,55th,1.33569013945
OPT-66B,0.1,Cocktail,55th,0.962433222
OPT-66B,0.1,InferLine,55th,0.9679127160000001
OPT-66B,0.1,Roger,55th,0.5562814677
OPT-66B,1,Cocktail,55th,1.18816134925
OPT-66B,1,InferLine,55th,1.1560905901
OPT-66B,1,Roger,55th,0.6848279699000002
OPT-66B,2,Cocktail,55th,1.9608913559
OPT-66B,2,InferLine,55th,1.5724112421
OPT-66B,2,Roger,55th,0.8788719981
OPT-66B,4,Cocktail,55th,3.7130449655
OPT-66B,4,InferLine,55th,3.0650477119500006
OPT-66B,4,Roger,55th,1.37421956215
BERT-21B,0.1,Cocktail,65th,0.47046196855
BERT-21B,0.1,InferLine,65th,0.47336478775
BERT-21B,0.1,Roger,65th,0.4509867932
BERT-21B,1,Cocktail,65th,0.9060798196500001
BERT-21B,1,InferLine,65th,0.8669883889000001
BERT-21B,1,Roger,65th,0.5123211013500001
BERT-21B,2,Cocktail,65th,2.1492310964
BERT-21B,2,InferLine,65th,2.18544099215
BERT-21B,2,Roger,65th,0.69791695345
BERT-21B,4,Cocktail,65th,5.0003709968
BERT-21B,4,InferLine,65th,5.00032758425
BERT-21B,4,Roger,65th,1.6347877620500002
OPT-66B,0.1,Cocktail,65th,1.0318703148000001
OPT-66B,0.1,InferLine,65th,1.03502191565
OPT-66B,0.1,Roger,65th,0.57421963625
OPT-66B,1,Cocktail,65th,1.3170857969
OPT-66B,1,InferLine,65th,1.27016916945
OPT-66B,1,Roger,65th,0.72892385085
OPT-66B,2,Cocktail,65th,2.2889534819999997
OPT-66B,2,InferLine,65th,1.7979472125500011
OPT-66B,2,Roger,65th,0.9548061916500001
OPT-66B,4,Cocktail,65th,4.294217736449999
OPT-66B,4,InferLine,65th,3.6682134207000003
OPT-66B,4,Roger,65th,1.57911594185
BERT-21B,0.1,Cocktail,75th,0.491317627
BERT-21B,0.1,InferLine,75th,0.493792557
BERT-21B,0.1,Roger,75th,0.4690397695
BERT-21B,1,Cocktail,75th,1.075453968
BERT-21B,1,InferLine,75th,1.00024641
BERT-21B,1,Roger,75th,0.5503644937500001
BERT-21B,2,Cocktail,75th,2.46602370425
BERT-21B,2,InferLine,75th,2.49673213475
BERT-21B,2,Roger,75th,0.78884870625
BERT-21B,4,Cocktail,75th,5.00064216175
BERT-21B,4,InferLine,75th,5.00060894225
BERT-21B,4,Roger,75th,2.062513113
OPT-66B,0.1,Cocktail,75th,1.1119839985
OPT-66B,0.1,InferLine,75th,1.1225999192499998
OPT-66B,0.1,Roger,75th,0.59734281525
OPT-66B,1,Cocktail,75th,1.48344383475
OPT-66B,1,InferLine,75th,1.40681897825
OPT-66B,1,Roger,75th,0.78022481125
OPT-66B,2,Cocktail,75th,2.748818986
OPT-66B,2,InferLine,75th,2.05304254775
OPT-66B,2,Roger,75th,1.0493208139999999
